SEXO;FECHA_NACIMIENTO;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;DISCAPACIDAD;PERIODO_MATRICULA;FACULTAD;ESCUELA_PROFESIONAL;CICLO;NOTA_PROMEDIO;PERIODO_INGRESO;PERIODO_PRIMERA_MATRICULA;FECHA_MATRICULA;CREDITOS_MATRICULADOS
MASCULINO;19870514;50115;AYACUCHO;HUAMANGA;JESUS NAZARENO;NO;2023-1;CIENCIAS AGRARIAS;INGENIERÍA AGRÍCOLA;8;9.24;2006-1;2006-1;20230926;19
MASCULINO;19961217;50115;AYACUCHO;HUAMANGA;JESUS NAZARENO;NO;2023-1;CIENCIAS AGRARIAS;INGENIERÍA AGRÍCOLA;4;10.86;2019-1;2019-1;20230926;20
FEMENINO;19980720;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS AGRARIAS;MEDICINA VETERINARIA;6;9.96;2018-1;2018-1;20230926;22
MASCULINO;20010523;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS AGRARIAS;INGENIERÍA AGRÍCOLA;2;14.29;2022-1;2022-1;20230926;22
FEMENINO;20030327;50103;AYACUCHO;HUAMANGA;CARMEN ALTO;NO;2023-1;CIENCIAS AGRARIAS;INGENIERÍA AGROFORESTAL;5;13.04;2021-1;2022-1;20230926;22
MASCULINO;19980410;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS AGRARIAS;INGENIERÍA AGRÍCOLA;8;10.89;2018-1;2018-1;20230926;20
MASCULINO;19990514;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS AGRARIAS;AGRONOMÍA;7;12;2019-1;2019-1;20230926;25
MASCULINO;20030411;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS AGRARIAS;MEDICINA VETERINARIA;1;0;2023-1;2023-1;20230926;21
MASCULINO;19941205;50403;AYACUCHO;LA MAR;AYNA;NO;2023-1;CIENCIAS AGRARIAS;INGENIERÍA AGROFORESTAL;2;14.05;2022-1;2022-1;20230926;21
FEMENINO;19950331;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS AGRARIAS;AGRONOMÍA;9;10.31;2018-1;2018-1;20230926;20
